screen_name,tweets
GodsentMuseum,112
BiniLov44178760,1
4Kahsay,6
RahelbeyeneTig,19
BombingStop,2
tigist2705,5
yonastgm,1
ibex_5,14
SelamTigraweti,385
5iiOZuZTr4kWBVY,9
zenawi_abrha,3
saba_gesesse22,12
siemawit21,15
LiyaShikor,103
Liloma88447829,3
WeleteTsadkan,14
merymulat,2
Great_tgray,346
Gebremary5Abrha,2
Tigraya46948561,40
MerhawitDaniels,8
MizanMezgebe3,1
TigrayAday3,8
Women4PeaceL,1
MeseleMercy,100
ermhaile,1
sgsndu1,2
meskerem_hiluf1,362
TjKidanemaryam,52
Hope57594216,71
KeseteSelemun,1
TigrayMundo,45
Betesfa4,2
ciZTfKbF7satfjD,16
BilenTigray,14
Bright72403938,20
adane_tbeyin,1
E4442H,1
yirdawo,1
HeluEsrom,13
Solomon121921,1
N71634250,607
HaftomHermila,449
fkrey_ljom,27
GebremkelKidst,15
BrhanLove2,93
l9ath,7
Helen76776723,39
SaymonKTe,260
Nur32593537,1
angish2016,1
Solomon15039699,1
kiflom_araya,1
AsuTigraweyti,71
tdf_hero,31
tiji_gal,3
BahraniTrhas,9
Proud99888584,2
MomLove71347674,1
TigrayUpdate,2
g_akberet,11
miki_alula,350
ABPF14,204
AsterHagos3,166
Ermias729950634,2
SeadaAbedlekar,185
shwitshwit1,9
abrht67,31
Hewan_habesha_g,82
tesfschgeni,92
STesfsh,2
Zufan158327321,38
GalTigr83607276,9
EmutiEmuti5,117
0oVhizLuBGiDjbr,51
GODISMYSHEAPERD,1
Hiwet_tigraweyt,316
iUJBtab2v0ud44u,61
fiseha_k,1
kebedeatakelti,3
militdf,1
axumite_,1
Rumela201,9
justineetG,3
55V7hsUedEjPrOK,4
tesfayegec,39
DesuMan88931887,2
GebrehiwetKahsu,2
DessieDessi,4
TeklehaymanotG,4
BirhaneBerhe1,5
Kisanet13989143,53
Luwam29028359,1
mullertigray,16
LinagualTigray,6
Mameking19,142
TesfayGebremi18,1
Jusepecuper,23
danicr720,2
BrhaneGebrekir1,99
YohannesA20,18
tigray_feven,223
AWeldesilassie,2
AkbierGebreal,12
big57837075,15
AlmazRaya,1
IrobAdvocacy,1
tjgrwet,96
Humaness2020,117
WG07268313,125
LidyaTESFAY2,20
Askale38969570,9
JoTigray,1
BikaSchuschu,1
GenetF3,30
gualhayle,544
NongmoMRNA,7
Aley233,7
Meki2022,43
AmanuelBERHE17,47
ywsfzyz5,3
Voice4Tigray,2
BmIrobta,2
MarkezeRaya,1
negashs1,4
kalhiwet,42
M72839273M,3
arsemayishak,107
WeldLoza,2
HaftuMahlet,16
L3BeH4wSWzup47r,1
FasilBirtukan,51
LemTegrawayti,61
MGberemdhin,173
AynalemBeraki,41
Solomon01014912,36
Leila68488345,35
CathyDAndrea99,1
proudtigrawety,9
helenmesfn,2
MeriMeritigray,83
JossyMahlet,8
geb_almaz,26
MHruudud,21
NTigrayan,4
EquarWinta,26
Dq5QjUhYuQHRFmI,2
DogaliV,89
StopWar92133647,2
ABRIHIMOY,126
Zafuhaile3,111
HGebreslassie,163
Berekty2,3
AKidanemariam,1
SamiTigray12,11
y1WSQxq2VDuI5sn,1
dF3e7rCMeq5nn9I,1
assefab13,1
timenitteklai,2
Alemmez,131
DawitTe70002088,2
helokaleb,4
Helona06958557,4
KidaneWoine,50
TgirayAdey5,41
kahsay22,220
Mona94134246,90
Tigray72623712,30
MogosH_,361
Sm95394915Sm,8
Tigraweyti9669,5
MebratTaddess,145
mogeskebedew,14
AdiamGhirmazio1,5
Jossi_224,1
ADULOVE17,6
BethNegash,2
WaldemichaelT,1
TGalgerye,247
Khulen123,8
TlbletsT,7
ChatWeny,75
MT79279504,6
MILKA__6,74
Abebaa21,13
YdUd68w7CEynHe0,7
hinsa08449256,2
Abdul90107342,2
Sayzana18,1
nTXnpA86YWAYJKv,1
Dayone71299401,7
tigrawayfili,4
Frutuna3,4
yemane89650000,6
MesiMaichew,15
TesfaiAssefa4,1
MulualemHelen,13
Marisol08277192,11
GalLiliy,276
AbduMabrat,64
Gogie121Gogie12,17
rahaf58146383,26
bahtawoldenkiel,1
SelamTesNiguse,9
Sarilov12407240,310
UmTm17,1
AbebaGetete,46
Nigisti121,2
Helen04578267,2
Elu15485164,8
Selam75627791,16
kt_agame,25
EsytAxum,16
Brhan78006078,2
ZENEBUGEBREKID1,11
nina90958933,8
NereSalem,18
TigrayTeuwet,7
Asgele13,113
TsadikHafte,2
reta_rahel,9
I_TDF_I,22
ezana2967,6
HelenAmitay,3
GedeyLetush,10
Hana_Gezae,56
Kahsu01156355,11
ZeruG9,1
DgfghhShshsh,1
ETipray,6
berzaf_k14,5
TDF4L,5
DelinahSampson,6
Astukamadu,39
Ju93679572,8
kiki30038139,3
AbbyAdwa,5
q4tE3vf13pg1dnb,9
TDF1515,2
geographer7,2
JPG0gAGEjbSySMX,10
KBerhek,18
AbrahamRig,2
art_yoni,5
MargMar80017297,30
Sy4P4uhcfH9mlrZ,4
ali_tigraway,1
Henok80180552,4
TeweldeKidane1,22
VoiceOfTigray3,5
selamgebre92,14
Pitias_B,1
WolduGebrehiwet,2
alula2,4
Anbesagir1,1
SuhulGal,18
Tigrawayti2,8
HaShewit,46
AlexGodoyF_,1
Tsega35819608,1
ketseeJunta,12
tisbkti1,57
MGoytoam,2
BelayneshAlems1,3
fifi58520122,2
Tekestebrhan12,1
weyinn,11
SenaitGebre3,34
GhaweriaR,2
AhmedinTdf,309
Gabicho2021,1
Tegerwaye,14
Mike09328813,2
Esayas08060734,90
tesfay_abe,53
yatela,2
